[2026-03-08 18:01:20] ALERT #1 | Frame 3 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:01:22] ALERT #2 | Frame 28 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:01:25] ALERT #3 | Frame 63 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:01:27] ALERT #4 | Frame 93 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:01:29] ALERT #5 | Frame 118 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:01:35] ALERT #6 | Frame 207 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:01:38] ALERT #7 | Frame 252 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:01:41] ALERT #8 | Frame 303 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:01:43] ALERT #9 | Frame 328 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:01:44] ALERT #10 | Frame 353 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:01:46] ALERT #11 | Frame 378 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:01:48] ALERT #12 | Frame 403 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:01:49] ALERT #13 | Frame 432 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:01:51] ALERT #14 | Frame 457 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:01:53] ALERT #15 | Frame 482 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:01:54] ALERT #16 | Frame 507 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:01:56] ALERT #17 | Frame 532 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:01:57] ALERT #18 | Frame 557 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:04:07] ALERT #1 | Frame 6 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:04:11] ALERT #2 | Frame 42 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:04:33] ALERT #3 | Frame 342 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:04:37] ALERT #4 | Frame 387 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:13:55] ALERT #1 | Frame 6 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:13:59] ALERT #2 | Frame 42 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:14:21] ALERT #3 | Frame 342 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:14:25] ALERT #4 | Frame 387 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:17:33] ALERT #1 | Frame 2 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:17:39] ALERT #2 | Frame 27 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:17:43] ALERT #3 | Frame 52 | 2 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:17:46] ALERT #4 | Frame 77 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:17:50] ALERT #5 | Frame 102 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:17:54] ALERT #6 | Frame 127 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:17:58] ALERT #7 | Frame 152 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:18:02] ALERT #8 | Frame 177 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:18:06] ALERT #9 | Frame 202 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:18:10] ALERT #10 | Frame 228 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:18:13] ALERT #11 | Frame 253 | 2 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:18:17] ALERT #12 | Frame 278 | 3 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:18:21] ALERT #13 | Frame 303 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:18:25] ALERT #14 | Frame 328 | 3 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:18:30] ALERT #15 | Frame 358 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:18:33] ALERT #16 | Frame 383 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:18:37] ALERT #17 | Frame 408 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:18:41] ALERT #18 | Frame 433 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 18:18:45] ALERT #19 | Frame 458 | 2 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
