[2026-03-08 17:53:29] ALERT #1 | Frame 2289 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 17:53:29] ALERT #2 | Frame 2314 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 17:53:41] ALERT #3 | Frame 2643 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 17:53:42] ALERT #4 | Frame 2668 | 2 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 17:53:43] ALERT #5 | Frame 2693 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 17:53:45] ALERT #6 | Frame 2736 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 17:53:48] ALERT #7 | Frame 2832 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 17:53:49] ALERT #8 | Frame 2874 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 17:53:50] ALERT #9 | Frame 2899 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 17:53:51] ALERT #10 | Frame 2928 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 17:53:52] ALERT #11 | Frame 2953 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 17:53:53] ALERT #12 | Frame 2978 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 17:53:55] ALERT #13 | Frame 3033 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 17:53:56] ALERT #14 | Frame 3058 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 17:54:27] ALERT #15 | Frame 3915 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 17:54:31] ALERT #16 | Frame 4023 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 17:54:32] ALERT #17 | Frame 4056 | 2 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 17:54:33] ALERT #18 | Frame 4081 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 17:54:34] ALERT #19 | Frame 4107 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
[2026-03-08 17:54:34] ALERT #20 | Frame 4132 | 1 person(s) | DANGER_ZONE_ENTERED | STOP SIGNAL SENT
